[2024-08-28T01:25:24.901+0000][info][gc] Using G1
[2024-08-28T01:25:24.931+0000][info][gc,init] Version: 17.0.7+7-Ubuntu-0ubuntu118.04 (release)
[2024-08-28T01:25:24.932+0000][info][gc,init] CPUs: 104 total, 104 available
[2024-08-28T01:25:24.932+0000][info][gc,init] Memory: 251G
[2024-08-28T01:25:24.932+0000][info][gc,init] Large Page Support: Disabled
[2024-08-28T01:25:24.932+0000][info][gc,init] NUMA Support: Disabled
[2024-08-28T01:25:24.932+0000][info][gc,init] Compressed Oops: Enabled (32-bit)
[2024-08-28T01:25:24.932+0000][info][gc,init] Heap Region Size: 1M
[2024-08-28T01:25:24.932+0000][info][gc,init] Heap Min Capacity: 8M
[2024-08-28T01:25:24.932+0000][info][gc,init] Heap Initial Capacity: 2G
[2024-08-28T01:25:24.932+0000][info][gc,init] Heap Max Capacity: 2G
[2024-08-28T01:25:24.932+0000][info][gc,init] Pre-touch: Disabled
[2024-08-28T01:25:24.932+0000][info][gc,init] Parallel Workers: 68
[2024-08-28T01:25:24.932+0000][info][gc,init] Concurrent Workers: 17
[2024-08-28T01:25:24.932+0000][info][gc,init] Concurrent Refinement Workers: 68
[2024-08-28T01:25:24.932+0000][info][gc,init] Periodic GC: Disabled
[2024-08-28T01:25:24.932+0000][info][gc,metaspace] CDS archive(s) mapped at: [0x0000000800000000-0x0000000800be2000-0x0000000800be2000), size 12460032, SharedBaseAddress: 0x0000000800000000, ArchiveRelocationMode: 0.
[2024-08-28T01:25:24.932+0000][info][gc,metaspace] Compressed class space mapped at: 0x0000000801000000-0x0000000841000000, reserved size: 1073741824
[2024-08-28T01:25:24.932+0000][info][gc,metaspace] Narrow klass base: 0x0000000800000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[2024-08-28T01:25:25.064+0000][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2024-08-28T01:25:25.073+0000][info][gc,task     ] GC(0) Using 49 workers of 68 for evacuation
[2024-08-28T01:25:25.096+0000][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.7ms
[2024-08-28T01:25:25.096+0000][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.4ms
[2024-08-28T01:25:25.097+0000][info][gc,phases   ] GC(0)   Evacuate Collection Set: 21.1ms
[2024-08-28T01:25:25.097+0000][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.6ms
[2024-08-28T01:25:25.097+0000][info][gc,phases   ] GC(0)   Other: 9.5ms
[2024-08-28T01:25:25.097+0000][info][gc,heap     ] GC(0) Eden regions: 102->0(89)
[2024-08-28T01:25:25.097+0000][info][gc,heap     ] GC(0) Survivor regions: 0->13(13)
[2024-08-28T01:25:25.097+0000][info][gc,heap     ] GC(0) Old regions: 0->91
[2024-08-28T01:25:25.097+0000][info][gc,heap     ] GC(0) Archive regions: 2->2
[2024-08-28T01:25:25.097+0000][info][gc,heap     ] GC(0) Humongous regions: 1->1
[2024-08-28T01:25:25.097+0000][info][gc,metaspace] GC(0) Metaspace: 97K(320K)->97K(320K) NonClass: 93K(192K)->93K(192K) Class: 4K(128K)->4K(128K)
[2024-08-28T01:25:25.097+0000][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 103M->105M(2048M) 32.401ms
[2024-08-28T01:25:25.097+0000][info][gc,cpu      ] GC(0) User=0.14s Sys=0.80s Real=0.03s
[2024-08-28T01:25:25.134+0000][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[2024-08-28T01:25:25.134+0000][info][gc,task     ] GC(1) Using 49 workers of 68 for evacuation
[2024-08-28T01:25:25.149+0000][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.5ms
[2024-08-28T01:25:25.149+0000][info][gc,phases   ] GC(1)   Merge Heap Roots: 1.1ms
[2024-08-28T01:25:25.149+0000][info][gc,phases   ] GC(1)   Evacuate Collection Set: 12.9ms
[2024-08-28T01:25:25.149+0000][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.4ms
[2024-08-28T01:25:25.149+0000][info][gc,phases   ] GC(1)   Other: 0.3ms
[2024-08-28T01:25:25.149+0000][info][gc,heap     ] GC(1) Eden regions: 89->0(89)
[2024-08-28T01:25:25.149+0000][info][gc,heap     ] GC(1) Survivor regions: 13->13(13)
[2024-08-28T01:25:25.149+0000][info][gc,heap     ] GC(1) Old regions: 91->186
[2024-08-28T01:25:25.149+0000][info][gc,heap     ] GC(1) Archive regions: 2->2
[2024-08-28T01:25:25.149+0000][info][gc,heap     ] GC(1) Humongous regions: 3->3
[2024-08-28T01:25:25.149+0000][info][gc,metaspace] GC(1) Metaspace: 97K(320K)->97K(320K) NonClass: 93K(192K)->93K(192K) Class: 4K(128K)->4K(128K)
[2024-08-28T01:25:25.149+0000][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 196M->202M(2048M) 15.298ms
[2024-08-28T01:25:25.149+0000][info][gc,cpu      ] GC(1) User=0.30s Sys=0.27s Real=0.01s
[2024-08-28T01:25:25.185+0000][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[2024-08-28T01:25:25.185+0000][info][gc,task     ] GC(2) Using 49 workers of 68 for evacuation
[2024-08-28T01:25:25.198+0000][info][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.4ms
[2024-08-28T01:25:25.199+0000][info][gc,phases   ] GC(2)   Merge Heap Roots: 0.2ms
[2024-08-28T01:25:25.199+0000][info][gc,phases   ] GC(2)   Evacuate Collection Set: 11.9ms
[2024-08-28T01:25:25.199+0000][info][gc,phases   ] GC(2)   Post Evacuate Collection Set: 0.4ms
[2024-08-28T01:25:25.199+0000][info][gc,phases   ] GC(2)   Other: 0.2ms
[2024-08-28T01:25:25.199+0000][info][gc,heap     ] GC(2) Eden regions: 89->0(89)
[2024-08-28T01:25:25.199+0000][info][gc,heap     ] GC(2) Survivor regions: 13->13(13)
[2024-08-28T01:25:25.199+0000][info][gc,heap     ] GC(2) Old regions: 186->281
[2024-08-28T01:25:25.199+0000][info][gc,heap     ] GC(2) Archive regions: 2->2
[2024-08-28T01:25:25.199+0000][info][gc,heap     ] GC(2) Humongous regions: 6->6
[2024-08-28T01:25:25.199+0000][info][gc,metaspace] GC(2) Metaspace: 97K(320K)->97K(320K) NonClass: 93K(192K)->93K(192K) Class: 4K(128K)->4K(128K)
[2024-08-28T01:25:25.199+0000][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 294M->300M(2048M) 13.235ms
[2024-08-28T01:25:25.199+0000][info][gc,cpu      ] GC(2) User=0.16s Sys=0.42s Real=0.02s
[2024-08-28T01:25:25.228+0000][info][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[2024-08-28T01:25:25.228+0000][info][gc,task     ] GC(3) Using 49 workers of 68 for evacuation
[2024-08-28T01:25:25.241+0000][info][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.3ms
[2024-08-28T01:25:25.241+0000][info][gc,phases   ] GC(3)   Merge Heap Roots: 0.2ms
[2024-08-28T01:25:25.241+0000][info][gc,phases   ] GC(3)   Evacuate Collection Set: 11.9ms
[2024-08-28T01:25:25.241+0000][info][gc,phases   ] GC(3)   Post Evacuate Collection Set: 0.5ms
[2024-08-28T01:25:25.241+0000][info][gc,phases   ] GC(3)   Other: 0.2ms
[2024-08-28T01:25:25.241+0000][info][gc,heap     ] GC(3) Eden regions: 89->0(89)
[2024-08-28T01:25:25.241+0000][info][gc,heap     ] GC(3) Survivor regions: 13->13(13)
[2024-08-28T01:25:25.241+0000][info][gc,heap     ] GC(3) Old regions: 281->376
[2024-08-28T01:25:25.241+0000][info][gc,heap     ] GC(3) Archive regions: 2->2
[2024-08-28T01:25:25.241+0000][info][gc,heap     ] GC(3) Humongous regions: 6->6
[2024-08-28T01:25:25.241+0000][info][gc,metaspace] GC(3) Metaspace: 97K(320K)->97K(320K) NonClass: 93K(192K)->93K(192K) Class: 4K(128K)->4K(128K)
[2024-08-28T01:25:25.241+0000][info][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 389M->395M(2048M) 13.178ms
[2024-08-28T01:25:25.241+0000][info][gc,cpu      ] GC(3) User=0.36s Sys=0.22s Real=0.02s
[2024-08-28T01:25:25.311+0000][info][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[2024-08-28T01:25:25.311+0000][info][gc,task     ] GC(4) Using 49 workers of 68 for evacuation
[2024-08-28T01:25:25.325+0000][info][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.4ms
[2024-08-28T01:25:25.325+0000][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.3ms
[2024-08-28T01:25:25.325+0000][info][gc,phases   ] GC(4)   Evacuate Collection Set: 12.3ms
[2024-08-28T01:25:25.325+0000][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.5ms
[2024-08-28T01:25:25.325+0000][info][gc,phases   ] GC(4)   Other: 0.3ms
[2024-08-28T01:25:25.325+0000][info][gc,heap     ] GC(4) Eden regions: 89->0(89)
[2024-08-28T01:25:25.325+0000][info][gc,heap     ] GC(4) Survivor regions: 13->13(13)
[2024-08-28T01:25:25.325+0000][info][gc,heap     ] GC(4) Old regions: 376->471
