[2024-08-28T13:11:02.850+0000][info][gc,metaspace] GC(2) Metaspace: 97K(320K)->97K(320K) NonClass: 93K(192K)->93K(192K) Class: 4K(128K)->4K(128K)
[2024-08-28T13:11:02.850+0000][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 145M->148M(1024M) 7.671ms
[2024-08-28T13:11:02.850+0000][info][gc,cpu      ] GC(2) User=0.11s Sys=0.06s Real=0.01s
[2024-08-28T13:11:02.861+0000][info][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[2024-08-28T13:11:02.861+0000][info][gc,task     ] GC(3) Using 24 workers of 68 for evacuation
[2024-08-28T13:11:02.869+0000][info][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.2ms
[2024-08-28T13:11:02.869+0000][info][gc,phases   ] GC(3)   Merge Heap Roots: 0.1ms
[2024-08-28T13:11:02.869+0000][info][gc,phases   ] GC(3)   Evacuate Collection Set: 7.3ms
[2024-08-28T13:11:02.869+0000][info][gc,phases   ] GC(3)   Post Evacuate Collection Set: 0.3ms
[2024-08-28T13:11:02.869+0000][info][gc,phases   ] GC(3)   Other: 0.2ms
[2024-08-28T13:11:02.869+0000][info][gc,heap     ] GC(3) Eden regions: 44->0(44)
[2024-08-28T13:11:02.869+0000][info][gc,heap     ] GC(3) Survivor regions: 7->7(7)
[2024-08-28T13:11:02.869+0000][info][gc,heap     ] GC(3) Old regions: 138->185
[2024-08-28T13:11:02.869+0000][info][gc,heap     ] GC(3) Archive regions: 2->2
[2024-08-28T13:11:02.869+0000][info][gc,heap     ] GC(3) Humongous regions: 3->3
[2024-08-28T13:11:02.869+0000][info][gc,metaspace] GC(3) Metaspace: 97K(320K)->97K(320K) NonClass: 93K(192K)->93K(192K) Class: 4K(128K)->4K(128K)
[2024-08-28T13:11:02.869+0000][info][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 192M->195M(1024M) 8.282ms
[2024-08-28T13:11:02.869+0000][info][gc,cpu      ] GC(3) User=0.15s Sys=0.02s Real=0.00s
[2024-08-28T13:11:02.895+0000][info][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[2024-08-28T13:11:02.895+0000][info][gc,task     ] GC(4) Using 24 workers of 68 for evacuation
[2024-08-28T13:11:02.903+0000][info][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.2ms
[2024-08-28T13:11:02.903+0000][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.2ms
[2024-08-28T13:11:02.903+0000][info][gc,phases   ] GC(4)   Evacuate Collection Set: 6.7ms
[2024-08-28T13:11:02.903+0000][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.3ms
[2024-08-28T13:11:02.903+0000][info][gc,phases   ] GC(4)   Other: 0.3ms
[2024-08-28T13:11:02.903+0000][info][gc,heap     ] GC(4) Eden regions: 44->0(44)
[2024-08-28T13:11:02.903+0000][info][gc,heap     ] GC(4) Survivor regions: 7->7(7)
[2024-08-28T13:11:02.903+0000][info][gc,heap     ] GC(4) Old regions: 185->232
